Idade,Gênero,Nível_Acadêmico,País,Média_Uso_Diário,Plataforma_Mais_Utilizada,Afeta_Desempenho_Acadêmico,Horas_Sono,Pontuação_Saúde_Mental,Nível_Vício
19,Feminino,Graduação,Bangladesh,5.2,Instagram,Sim,6.5,6,8
22,Masculino,Pós-Graduação,Índia,2.1,Twitter,Não,7.5,8,3
20,Feminino,Graduação,Estados Unidos,6.0,TikTok,Sim,5.0,5,9
18,Masculino,Ensino Médio,Reino Unido,3.0,YouTube,Não,7.0,7,4
21,Masculino,Pós-Graduação,Canadá,4.5,Facebook,Sim,6.0,6,7
19,Feminino,Graduação,Austrália,7.2,Instagram,Sim,4.5,4,9
23,Masculino,Pós-Graduação,Alemanha,1.5,LinkedIn,Não,8.0,9,2
20,Feminino,Graduação,Brasil,5.8,Snapchat,Sim,6.0,6,8
18,Masculino,Ensino Médio,Japão,4.0,TikTok,Não,6.5,7,5
21,Feminino,Pós-Graduação,Coreia do Sul,3.3,Instagram,Não,7.0,7,4
19,Masculino,Graduação,França,4.8,Snapchat,Sim,6.2,5,7
20,Feminino,Graduação,Espanha,5.5,TikTok,Sim,5.8,6,8
22,Masculino,Pós-Graduação,Itália,2.8,LinkedIn,Não,7.2,8,4
18,Feminino,Ensino Médio,México,6.5,Instagram,Sim,5.5,5,9
21,Masculino,Graduação,Rússia,3.7,YouTube,Não,6.8,7,5
20,Feminino,Graduação,China,4.2,TikTok,Sim,6.0,6,7
24,Masculino,Pós-Graduação,Suécia,2.0,LinkedIn,Não,7.8,8,3
19,Feminino,Ensino Médio,Noruega,5.0,Instagram,Sim,5.7,5,8
21,Masculino,Graduação,Dinamarca,3.5,Facebook,Não,6.7,7,5
20,Feminino,Graduação,Países Baixos,4.7,Snapchat,Sim,5.9,6,7
18,Masculino,Ensino Médio,Bélgica,5.3,TikTok,Sim,5.5,5,8
23,Feminino,Pós-Graduação,Suíça,2.5,LinkedIn,Não,7.3,8,4
19,Masculino,Graduação,Áustria,4.9,Instagram,Sim,5.8,6,7
20,Feminino,Graduação,Portugal,5.7,TikTok,Sim,5.4,5,8
22,Masculino,Pós-Graduação,Grécia,3.2,Facebook,Não,6.9,7,5
19,Feminino,Ensino Médio,Irlanda,6.1,Instagram,Sim,5.2,5,9
21,Masculino,Graduação,Nova Zelândia,3.8,YouTube,Não,6.6,7,5
20,Feminino,Graduação,Singapura,4.4,TikTok,Sim,5.9,6,7
24,Masculino,Pós-Graduação,Malásia,2.2,LinkedIn,Não,7.4,8,3
19,Feminino,Ensino Médio,Tailândia,5.9,Instagram,Sim,5.3,5,8
21,Masculino,Graduação,Vietnã,3.6,Facebook,Não,6.7,7,5
20,Feminino,Graduação,Filipinas,4.8,Snapchat,Sim,5.7,6,7
18,Masculino,Ensino Médio,Indonésia,5.4,TikTok,Sim,5.4,5,8
23,Feminino,Pós-Graduação,Taiwan,2.6,LinkedIn,Não,7.2,8,4
19,Masculino,Graduação,"Hong Kong, RAE da China",4.7,Instagram,Sim,5.8,6,7
